idx,variant,dataset_name,question_id,question,gold_answer,pred_answer,raw_output,has_answer_tag
1,standard,tgqa_split_train,story410_Q8_0,True or false: event (Oliver Thompson was married to Charlie Evans) was longer in duration than event (Charlie Evans was married to Oliver Thompson)?,False,false,<answer> false </answer>,True
2,standard,tgqa_split_train,story293_Q4_0,When did the event (Ethan Cooper created Frost (film)) start?,2008,2008,<answer> 2008 </answer>,True
3,standard,tgqa_split_train,story218_Q7_1,What happened right before the event (Liam Mitchell won prize Member of the National Academy) starts?,Liam Mitchell won prize Crystal Lake Trophy,Liam Mitchell won prize Crystal Lake Trophy,<answer> Liam Mitchell won prize Crystal Lake Trophy </answer>,True
4,standard,tgqa_split_train,story232_Q1_1,"Given the following five events: (Chris Morgan died in Oakland, Florida), (Lucy Anderson died in Oakland), (Chris Morgan was married to Lucy Anderson), (Chris Morgan was born in San Francisco), (Lucy Anderson was born in Palm Springs). Which event is the second one in chronological order?",Lucy Anderson was born in Palm Springs,Lucy Anderson was married to Chris Morgan,<answer> Lucy Anderson was married to Chris Morgan </answer>,True
5,standard,tgqa_split_train,story106_Q7_0,What happened right before the event (Liam Foster won prize Woodland Achievement Trophy) starts?,Liam Foster won prize Golden Eagle Award,Liam Foster won prize Manchester Trophy,<answer> Liam Foster won prize Manchester Trophy </answer>,True
6,standard,tgqa_split_train,story291_Q5_0,True or false: event (Liam Thompson was married to Alex Turner) and event (Liam Thompson was born in Williams) started at the same year?,False,false,<answer> false </answer>,True
7,standard,tgqa_split_train,story228_Q4_0,"When did the event (Mike Johnson was born in Kingston, Wyoming) start?",1929,1929,<answer> 1929 </answer>,True
8,standard,tgqa_split_train,story241_Q5_0,True or false: event (Sophia Johnson died in Somerset) and event (Sophia Johnson won prize Golden Gate Prize) started at the same year?,False,,false,False
9,standard,tgqa_split_train,story61_Q7_0,What happened right after the event (Ethan Wilson studied in London College) starts?,"Ethan Wilson studied in Oceanview College,Boston","Ethan Wilson studied in Oceanview College, Boston","<answer> Ethan Wilson studied in Oceanview College, Boston </answer>",True
10,standard,tgqa_split_train,story384_Q6_0,True or false: event (George Harrison was married to Emma Turner) was still happening when event (Emma Turner died in Atlanta) started?,False,,false,False
11,standard,tgqa_split_train,story37_Q0_0,"Which event started first, (Alex Thompson was married to Olivia Anderson) or (Charlie James (writer) was married to Olivia Anderson)?",Alex Thompson was married to Olivia Anderson,(Alex Thompson was married to Olivia Anderson),<answer> (Alex Thompson was married to Olivia Anderson) </answer>,True
12,standard,tgqa_split_train,story83_Q1_2,"Given the following five events: (Harrison Lewis was born in Meadowland, Vermont), (Oliver Thompson (composer) was born in Denver), (Frank Porter was born in Hillcrest), (Harrison Lewis died in Green Valley, Ohio), (Harrison Lewis was married to Frank Porter). Which event is the first one in chronological order?",Frank Porter was born in Hillcrest,"(Harrison Lewis was born in Meadowland, Vermont)","<answer> (Harrison Lewis was born in Meadowland, Vermont) </answer>",True
13,standard,tgqa_split_train,story182_Q3_0,How much time passed between the start of event (Richard Armstrong was married to Oliver Morton) and the start of event (Oliver Morton was married to Richard Armstrong)?,0,0,<answer> 0</answer>,True
14,standard,tgqa_split_train,story177_Q2_0,How long did the event (Liam Thompson was married to Elijah Marshall) last?,23,23 years,<answer> 23 years </answer>,True
15,standard,tgqa_split_train,story39_Q1_3,"Given the following five events: (Ryan Johnson was born in Springfield), (Ryan Johnson was married to Emily Parker (singer)), (Emily Parker (singer) was born in Portland, Oregon), (Emily Parker (singer) died in Astonville, Alabama), (Emily Parker (singer) was married to Ryan Johnson). Which event is the second one in chronological order?","Emily Parker (singer) was born in Portland,Oregon","(Emily Parker (singer) was born in Portland, Oregon)","<answer> (Emily Parker (singer) was born in Portland, Oregon) </answer>",True
16,standard,tgqa_split_train,story169_Q0_0,"Which event started first, (Jason R. Murphy won prize Blue Mountain University) or (Jason R. Murphy won prize Falcon Award in Biology)?",Jason R. Murphy won prize Falcon Award in Biology,Jason R. Murphy won prize Falcon Award in Biology,<answer> Jason R. Murphy won prize Falcon Award in Biology </answer>,True
17,standard,tgqa_split_train,story33_Q0_0,"Which event started first, (Maxwell Thompson died in Atlanta) or (Emily Hansen was married to Maxwell Thompson)?",Emily Hansen was married to Maxwell Thompson,(Maxwell Thompson was married to Emma Grace Turner),<answer> (Maxwell Thompson was married to Emma Grace Turner) </answer>,True
18,standard,tgqa_split_train,story227_Q3_0,"How much time passed between the start of event (Emily Collins was born in Oceanview) and the start of event (Emma Thompson was born in Greenville, Ohio)?",10,10 years,<answer> 10 years </answer>,True
19,standard,tgqa_split_train,story352_Q1_1,"Given the following five events: (Emma Thompson was born in Savannah), (Jackson Miller was married to Emma Thompson), (Sophia Reynolds was married to Jackson Miller), (Jackson Miller was born in Savannah), (Sophia Reynolds was born in Savannah). Which event is the fourth one in chronological order?",Jackson Miller was married to Emma Thompson,(Sophia Reynolds was born in Savannah),<answer> (Sophia Reynolds was born in Savannah) </answer>,True
20,standard,tgqa_split_train,story364_Q1_1,"Given the following five events: (Liam Sullivan was married to David Reynolds), (Liam Sullivan died in Oceanview), (Liam Sullivan was born in Dallas), (David Reynolds was born in San Francisco), (David Reynolds died in San Francisco). Which event is the second one in chronological order?",David Reynolds was born in San Francisco,(Liam Sullivan was born in Dallas),<answer> (Liam Sullivan was born in Dallas) </answer>,True
21,standard,tgqa_split_train,story247_Q8_0,True or false: event (Fiona Thompson was married to Lucas Thompson) was longer in duration than event (Lucas Thompson was married to Fiona Thompson)?,False,,false,False
22,standard,tgqa_split_train,story96_Q1_3,"Given the following five events: (Grace Thompson was married to Luke Thompson), (Grace Thompson was born in Harmonyville), (Luke Thompson was born in Greenwood), (Charlie Thompson was married to Grace Thompson), (Charlie Thompson was born in Whiteville, North Carolina). Which event is the fifth one in chronological order?",Grace Thompson was married to Luke Thompson,(Grace Thompson was married to Charlie Thompson),<answer> (Grace Thompson was married to Charlie Thompson) </answer>,True
23,standard,tgqa_split_train,story12_Q1_0,"Given the following five events: (Charlie Evans played for Hawks FC London), (Charlie Evans played for Italy national under-20 basketball team), (Charlie Evans played for Southampton Athletic Club), (Charlie Evans played for Sapphire United Football Club), (Charlie Evans played for Spartan Glory football team). Which event is the first one in chronological order?",Charlie Evans played for Spartan Glory football team,Charlie Evans played for Hawks FC London,<answer> Charlie Evans played for Hawks FC London </answer>,True
24,standard,tgqa_split_train,story161_Q1_1,"Given the following five events: (Jason Harris won prize Astoria Award in Cosmology), (Jason Harris won prize Crimson Award), (Jason Harris was born in Atlanta), (Jason Harris won prize Harrison Trophy), (Jason Harris won prize Member of the National Academy). Which event is the first one in chronological order?",Jason Harris was born in Atlanta,Jason Harris was born in Atlanta,<answer> Jason Harris was born in Atlanta </answer>,True
25,standard,tgqa_split_train,story278_Q7_0,What happened right before the event (Maxwell Morgan was married to Emma Anderson) starts?,Emma Anderson was born in Oceanview,Emma Anderson was born in Oceanview,<answer> Emma Anderson was born in Oceanview </answer>,True
26,standard,tgqa_split_train,story43_Q7_1,What happened right before the event (Isabella Thompson died in Brooklyn) starts?,Mason Taylor was married to Isabella Thompson,Mason Taylor was married to Isabella Thompson,<answer> Mason Taylor was married to Isabella Thompson </answer>,True
27,standard,tgqa_split_train,story244_Q0_0,"Which event started first, (Liam Morrison was born in Seattle) or (Liam Morrison won prize Sunset Valley National Award)?",Liam Morrison was born in Seattle,1925,<answer> 1925 </answer>,True
28,standard,tgqa_split_train,story465_Q7_1,What happened right after the event (Nathan Thompson created The Carpet of the Network) starts?,Nathan Thompson created Eternal Laughter,(Nathan Thompson created Eternal Laughter),<answer> (Nathan Thompson created Eternal Laughter) </answer>,True
29,standard,tgqa_split_train,story199_Q1_3,"Given the following five events: (Luke Mitchell was born in Riverside), (Luke Mitchell won prize Crimson Award), (Luke Mitchell died in Somerset), (Luke Mitchell won prize Royal Order of Knights), (Luke Mitchell won prize Silver Star Society). Which event is the second one in chronological order?",Luke Mitchell won prize Crimson Award,Luke Mitchell won prize Crimson Award,<answer> Luke Mitchell won prize Crimson Award </answer>,True
30,standard,tgqa_split_train,story120_Q1_1,"Given the following five events: (Oliver Roberts won prize New name: International Prize for Technology), (Oliver Roberts died in Winston, North Carolina), (Oliver Roberts won prize Peter Jackson Prize), (Oliver Roberts won prize Smithson Award), (Oliver Roberts won prize Gold Achievement Award). Which event is the fourth one in chronological order?",Oliver Roberts won prize Peter Jackson Prize,Oliver Roberts won prize Smithson Award,<answer> Oliver Roberts won prize Smithson Award </answer>,True
31,standard,tgqa_split_train,story292_Q2_0,How long did the event (Mason Taylor was married to Isabella Thompson) last?,28,28 years,<answer> 28 years </answer>,True
32,standard,tgqa_split_train,story5_Q8_0,True or false: event (Liam Edwards played for R.T. Wolverhampton) was longer in duration than event (Liam Edwards played for Phoenix United)?,True,false,<answer> false </answer>,True
33,standard,tgqa_split_train,story285_Q0_0,"Which event started first, (Mia Thompson was born in Seattle, Washington) or (Mia Thompson was married to Adam Watson)?","Mia Thompson was born in Seattle,Washington","Mia Thompson was born in Seattle, Washington","<answer> Mia Thompson was born in Seattle, Washington </answer>",True
34,standard,tgqa_split_train,story286_Q4_0,When did the event (Liam Richardson was married to Sophia Anderson) start?,1969,1969,<answer> 1969 </answer>,True
35,standard,tgqa_split_train,story407_Q1_3,"Given the following five events: (Olivia Watson studied in Valley State University), (Olivia Watson was married to Liam Thompson (actor)), (Liam Thompson (actor) was married to Olivia Watson), (Sophie Johnson was married to Liam Thompson (actor)), (Olivia Watson was born in San Francisco). Which event is the first one in chronological order?",Olivia Watson was born in San Francisco,Olivia Watson was born in San Francisco,<answer> Olivia Watson was born in San Francisco </answer>,True
36,standard,tgqa_split_train,story356_Q4_0,When did the event (David Walker (engineer) won prize Parker Prize) start?,2001,2001,<answer> 2001 </answer>,True
37,standard,tgqa_split_train,story128_Q7_0,What happened right before the event (David Henderson (computer scientist) won prize Harper Prize for Scientific Achievement) starts?,David Henderson (computer scientist) won prize Harris Trophy,David Henderson (computer scientist) won prize Harris Trophy,<answer> David Henderson (computer scientist) won prize Harris Trophy </answer>,True
38,standard,tgqa_split_train,story66_Q1_2,"Given the following five events: (Lucas Allen was born in London), (Lucas Allen was married to Oliver Holmes), (Nathan Brooks was married to Lucas Allen), (Oliver Holmes died in San Francisco), (Lucas Allen died in Manchester). Which event is the third one in chronological order?",Nathan Brooks was married to Lucas Allen,Nathan Brooks was married to Lucas Allen,<answer> Nathan Brooks was married to Lucas Allen </answer>,True
39,standard,tgqa_split_train,story335_Q1_1,"Given the following five events: (Jason Thompson. won prize Jenkins Award), (Jason Thompson. won prize Samuel Montgomery Award), (Jason Thompson. won prize Stonehurst Award), (Jason Thompson. was born in Wanderers), (Jason Thompson. died in Bristol, Texas). Which event is the third one in chronological order?",Jason Thompson. won prize Stonehurst Award,Jason Thompson. won prize Samuel Montgomery Award,<answer> Jason Thompson. won prize Samuel Montgomery Award </answer>,True
40,standard,tgqa_split_train,story358_Q7_1,What happened right before the event (John Thompson won prize Golden Summit) starts?,John Thompson won prize Hudson Trophy,,John Thompson won prize Hudson Trophy,False
41,standard,tgqa_split_train,story112_Q8_0,True or false: event (Molly Adams was married to Liam Thomas Dawson) was longer in duration than event (Liam Thomas Dawson was married to Molly Adams)?,False,,false,False
42,standard,tgqa_split_train,story217_Q2_0,How long did the event (Ethan Davidson was married to Sarah Thompson) last?,8,8 years,<answer> 8 years </answer>,True
43,standard,tgqa_split_train,story406_Q1_0,"Given the following five events: (Michael Jenkins was married to Ella Summers), (Ella Summers was born in San Francisco), (Riley Phillips was married to Michael Jenkins), (Ella Summers was married to Michael Jenkins), (Riley Phillips was born in Eastwood). Which event is the fourth one in chronological order?",Ella Summers was married to Michael Jenkins,(Riley Phillips was married to Michael Jenkins),<answer> (Riley Phillips was married to Michael Jenkins) </answer>,True
44,standard,tgqa_split_train,story461_Q3_0,How much time passed between the start of event (Cameron Thompson played for Delaware national under-16 football team) and the start of event (Cameron Thompson played for Blazing Tigers (Hartford))?,15,,5,False
45,standard,tgqa_split_train,story167_Q1_0,"Given the following five events: (Oliver Thompson was married to Liam Thompson), (Andrew Mitchell was married to Oliver Thompson), (Oliver Thompson was born in Dallas), (Oliver Thompson was married to Andrew Mitchell), (Andrew Mitchell was born in San Francisco). Which event is the fifth one in chronological order?",Andrew Mitchell was married to Oliver Thompson,(Andrew Mitchell was married to Oliver Thompson),<answer> (Andrew Mitchell was married to Oliver Thompson) </answer>,True
46,standard,tgqa_split_train,story51_Q1_3,"Given the following five events: (Sophia Blackwood was born in Clifton City), (Emily Johnson was married to Zachary Fletcher), (Zachary Fletcher was married to Sophia Blackwood), (Zachary Fletcher was born in Clifton City), (Sophia Blackwood was married to Zachary Fletcher). Which event is the second one in chronological order?",Zachary Fletcher was born in Clifton City,(Zachary Fletcher was born in Clifton City),<answer> (Zachary Fletcher was born in Clifton City) </answer>,True
47,standard,tgqa_split_train,story91_Q0_0,"Which event started first, (Ethan Livingston was married to Liam Parker) or (Gabriel Walsh was married to Ethan Sanders)?",Gabriel Walsh was married to Ethan Sanders,(Gabriel Walsh was married to Ethan Sanders),<answer> (Gabriel Walsh was married to Ethan Sanders) </answer>,True
